Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
12-02-2022,40,,1450.001425,,,0.337274825,1.00240016,0.2510584,2575,,,,,,
13-02-2022,118,,4290.543551,,,0.353004874,1.856327534,0.2510584,7517,,,,,,
14-02-2022,94,,3402.027051,,,0.321413284,1.608261228,0.2510584,5916,,,,,,
15-02-2022,123,,3982.042962,,,0.341572788,1.689569235,0.261519164,6641,,,,,,
16-02-2022,55,,1738.32595,1,1,0.393400959,1.432090878,0.2510584,3013,,,,,,
17-02-2022,24,,890.9779158,,,0.332323393,1.045645237,0.2510584,1654,,,,,,
18-02-2022,13,,656.2599961,,,0.285612767,0.680404484,0.2510584,1301,,,,,,
19-02-2022,187,,7605.321044,12,12,0.401877729,1.54119122,0.2510584,12132,,,,,,
20-02-2022,88,,3323.065789,4,4,0.420730478,1.437491417,0.2510584,5485,,,,,,
21-02-2022,33,,1236.293018,,,0.325071329,0.960469782,0.271979928,2347,,,,,,
22-02-2022,11,,481.2572975,,,0.32687694,0.804420769,0.271979928,878,,,,,,
23-02-2022,56,,1972.330278,,,0.319746561,1.578487396,0.2510584,3518,,,,,,
24-02-2022,26,,982.3889071,,,0.330694782,0.497834295,0.261519164,1735,,,,,,
25-02-2022,33,,1297.971995,,,0.301750563,0.658658206,0.2510584,2443,,,,,,
26-02-2022,196,,7039.699771,1,1,0.387418848,1.330504775,0.2510584,11913,,,,,,
27-02-2022,126,,4529.054451,2,2,0.357107982,1.51544261,0.2510584,7668,,,,,,
28-02-2022,48,,2037.163776,11,11,0.362253672,1.871830821,0.2510584,3544,,,,,,
01-03-2022,124,,5390.402304,17,17,0.413337071,1.49897325,0.2510584,8752,,,,,,
02-03-2022,183,,8649.81739,38,38,0.467245585,1.671166062,0.248005569,13368,,,,,,
03-03-2022,148,,6977.790089,33,33,0.494709075,1.394920707,0.245868698,10838,,,,,,
04-03-2022,166,,7459.823198,30,30,0.36795343,1.668327928,0.24808237,11876,,,,,,
05-03-2022,113,,4894.85071,24,24,0.415686657,1.542780638,0.271979928,7702,,,,,,
06-03-2022,85,,4014.7896,21,21,0.451317676,2.4714849,0.261519164,6619,,,,,,
07-03-2022,183,,8768.306574,47,47,0.485925445,1.636918426,0.2510584,13957,,,,,,
08-03-2022,136,,6460.787169,33,33,0.445887949,1.45473063,0.261519164,10161,,,,,,
09-03-2022,148,,5837.846661,13,13,0.401700038,1.556617022,0.2510584,9727,,,,,,
10-03-2022,109,,5508.181817,27,27,0.401987129,1.54772985,0.2510584,8835,,,,,,
11-03-2022,124,,6097.799178,36,36,0.377185953,1.478684068,0.2510584,9845,,,,,,
12-03-2022,78,,3425.594279,11,9,0.367609617,2.246356487,0.2510584,5945,,,,,,
13-03-2022,119,,4154.467954,6,6,0.366669351,2.049865723,0.247610703,6844,,,,,,
14-03-2022,144,,6188.796765,24,24,0.373980146,1.380454898,0.2510584,10073,,,,,,
15-03-2022,129,48.34805413,5659.146111,25,25,0.428495983,1.878504276,0.261519164,9066,,,,,627444,
16-03-2022,85,173.1356064,3312.545627,5,5,0.41652703,1.380612135,0.24968259,5723,,,,,1024784,
17-03-2022,113,359.6387606,4070.860084,6,6,0.377869407,2.060930729,0.248373851,7105,,,,376750,2512635,
18-03-2022,99,102.1815572,3373.904857,1,1,0.368135545,1.670486927,0.2510584,5880,,,,,43110,578598
19-03-2022,124,167.3513756,3608.714111,,,0.345040832,1.224789023,0.2510584,6238,,,,,1740140,148103
20-03-2022,42,404.0583628,1760.708463,,,0.359477407,1.347953916,0.2510584,3089,,,,,154229,
21-03-2022,230,268.5459963,8559.714561,35,35,0.437628874,1.458070874,0.250831306,14211,,,,600000,2853517,
22-03-2022,92,448.3579312,5585.569555,38,34,0.436743647,6.034311295,0.258609623,8365,,,,,4755127,268010
23-03-2022,138,162.3206869,5499.344529,12,12,0.441616758,1.859348059,0.2510584,9153,,,,,2106542,
24-03-2022,153,258.6117736,7216.853244,36,36,0.424737406,1.649649024,0.250779301,11675,,,,,3356176,
25-03-2022,178,293.7268564,8346.612314,34,34,0.475317493,1.786911964,0.261519164,13392,,,,,3811886,
26-03-2022,130,211.3617287,5903.900549,30,30,0.486051323,1.47126174,0.2510584,9521,,,,,2742979,
27-03-2022,54,61.86812925,1681.461385,9,9,0.324894136,1.081220865,0.2510584,3192,,,,600000,171324,
28-03-2022,86,112.8010035,4193.438628,17,16,0.460317847,2.086814165,0.2510584,6718,,,,,1463892,
29-03-2022,122,171.3014714,4308.918532,40,40,0.451340432,1.565064192,0.250057966,7176,,,,1477078,78324,
30-03-2022,173,207.7486938,6654.08559,23,23,0.440411588,1.749600053,0.248770356,10928,,,,,2551002,
31-03-2022,197,254.1006432,8160.494398,66,66,0.468406116,1.427669168,0.248437166,13112,,,,1537742,750346,
01-04-2022,162,182.0584192,6916.890617,23,23,0.446847836,1.480509639,0.2510584,11395,,,,,2362691,
02-04-2022,109,276.2930107,5582.643348,32,32,0.431779807,1.441083431,0.2510584,8837,,,,,1943564,694517
03-04-2022,102,202.3854275,5192.272434,27,27,0.447098846,1.535870194,0.2510584,8212,,,,,2626488,
04-04-2022,206,165.8239069,9283.806483,32,32,0.429731212,1.378475308,0.2510584,14912,,,,,1548973,
05-04-2022,147,376.3189485,5725.228273,12,12,0.5090006,1.559606671,0.2510584,9212,,,,,4777558,
06-04-2022,79,111.6459041,3387.29161,7,7,0.426954412,1.280391097,0.261519164,5797,,,,,1448901,
07-04-2022,94,234.9016517,4193.681641,13,13,0.428158562,1.348277211,0.2510584,6915,,,,,3048474,
